EP,,,ROCm,WindowsML,WindowsML,ROCm,WindowsML,WindowsML
Device,,,GPU,NPU,GPU,GPU,NPU,GPU
Scenario,,,Phi 3.5 Mini Instruct,Phi 3.5 Mini Instruct,Phi 3.5 Mini Instruct,Llama 3.1 8B Instruct,Llama 3.1 8B Instruct,Llama 3.1 8B Instruct
Date,,,2026-03-07 9:53 PM,2026-03-07 9:26 PM,2026-03-07 9:17 PM,2026-03-07 9:00 PM,2026-03-07 8:17 PM,2026-03-07 7:58 PM
Tested By MLCommons,,,Yes,Yes,Yes,Yes,Yes,Yes
Config Category,,,base,base,base,base,base,base
System Info,,,CPU: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S(x64);RAM: 126 GB;OS: Microsoft Windows 11 Pro,CPU: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S(x64);RAM: 126 GB;OS: Microsoft Windows 11 Pro,CPU: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S(x64);RAM: 126 GB;GPU: AMD Radeon(TM) 8060S Graphics;VRAM: 2 GB;OS: Microsoft Windows 11 Pro,CPU: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S(x64);RAM: 126 GB;OS: Microsoft Windows 11 Pro,CPU: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S(x64);RAM: 126 GB;OS: Microsoft Windows 11 Pro,CPU: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S(x64);RAM: 126 GB;GPU: AMD Radeon(TM) 8060S Graphics;VRAM: 2 GB;OS: Microsoft Windows 11 Pro
Overall
,,TTFT (seconds),2.09,1.29,0.97,3.85,1.78,1.21
,,TPS,25.4,15.2,66.3,25.4,5.4,37.5
Content Generation
,,TTFT (seconds),0.31,0.20,0.33,0.84,0.43,0.38
,,TPS,32.2,19.4,80.0,29.4,7.4,41.8
Creative Writing
,,TTFT (seconds),1.43,0.88,0.69,2.77,1.14,0.77
,,TPS,32.7,16.9,72.2,28.2,6.3,39.3
"Summarization, Light"
,,TTFT (seconds),2.79,1.69,1.00,4.23,2.06,1.35
,,TPS,22.8,15.5,65.3,25.0,5.8,36.7
"Summarization, Moderate"
,,TTFT (seconds),4.86,2.79,1.60,7.25,3.48,2.00
,,TPS,24.5,13.4,61.0,24.5,4.6,36.2
Code Analysis
,,TTFT (seconds),6.74,4.18,2.37,11.88,5.01,3.22
,,TPS,17.8,12.0,55.7,20.9,3.8,34.1
